FSA_postal_code,BUILDING RENOVATOR,CLOTHING DROP BOX LOCATION PERMIT,COMMERCIAL PARKING LOT,DRAIN LAYER,DRIVEWAY PAVING CONTRACTOR,DRIVING INSTRUCTOR (V),DRIVING SCHOOL OPERATOR (B),DRIVING SCHOOL OPERATOR (V),EATING ESTABLISHMENT,HAWKER/PEDLAR ON FOOT,HAWKER/PEDLAR WITH MOTOR VEHICLE,HEATING CONTRACTOR,INSULATION INSTALLER,LAUNDRY,LIMOUSINE OWNER,MASTER HEATING INSTALLER,MASTER PLUMBER,MOBILE VENDING (FOOD TRUCK),MOTORIZED REFRESHMENT VEHICLE OWNER,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,PAWN SHOP,PAYDAY LOAN,PERSONAL SERVICES SETTINGS,PLACE OF AMUSEMENT,PLUMBING & HEATING CONTRACTOR,PLUMBING CONTRACTOR,PRECIOUS METAL SHOP,PRIVATE PARKING ENFORCEMENT AGENCY,PUBLIC GARAGE,PUBLIC HALL,RETAIL STORE (FOOD),SECOND HAND SHOP,SMOKE SHOP,TAXICAB BROKER,TAXICAB OWNER,TEMPORARY FIREWORKS VENDOR (OVER 25 KG),TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),TEMPORARY SIGN - A-FRAME,TEMPORARY SIGN - MOBILE,THEATRE,TORONTO TAXICAB OWNER,TOW TRUCK OWNER,BOWLING HOUSE,BUILDING CLEANER,COLLECTOR OF SECOND HAND GOODS,DRIVE-SELF RENTAL OWNER,HOLISTIC CENTRE,PERMANENT FIREWORKS VENDOR,VAPOUR PRODUCT RETAILER,AUCTIONEER,BILLIARD HALL,BODY RUB PARLOUR,CARNIVAL,DRAIN CONTRACTOR,LIMOUSINE SERVICE COMPANY,MOBILE VENDING (ICE CREAM TRUCK),PET SHOP,TEMPORARY MOBILE FIREWORKS VENDOR,ADVERTISING,SWIMMING POOL,SECOND HAND SALVAGE SHOP,SECOND HAND SALVAGE YARD,TEMPORARY LEASE FIREWORKS VENDOR,ADULT ENTERTAINMENT CLUB,BILL DISTRIBUTOR,ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,HAWKER/PEDLAR WITH PUSH CART,CHIMNEY REPAIRMAN,TAXICAB OPERATOR,TEMPORARY SIGN PROVIDER,SIDEWALK CAFE,SIDEWALK VENDING,TEMPORARY SIGN - GROUND-MOUNTED,PRIVATE TRANSPORTATION COMPANY,CIRCUS,TRANSIENT TRADER,MARKETING DISPLAY,TEMPORARY SIGN - NEW DEVELOPMENT,TEMPORARY SIGN - PORTABLE,CLOTHING DROP BOX OPERATOR,BATH HOUSE,AUTO SERVICE STATION,PEDICAB OWNER,CURBLANE VENDING,CURB LANE CAFE,BOATS FOR HIRE,SHORT TERM RENTAL COMPANY,MOTOR VEHICLE RACING
M1P,70,30,21,1,3,63,17,3,597,8,3,10,1,58,10,6,10,2,7,20,5,8,177,3,1,15,13,2,621,19,592,56,2,6,88,22,3,0,191,6,9,133,2,1,1,23,37,2,2,1,1,0,0,1,2,0,10,0,0,0,3,5,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1R,83,35,1,0,1,29,9,1,435,7,2,6,0,40,34,10,21,11,22,21,4,8,141,1,3,21,4,3,215,0,456,28,2,3,128,5,1,1,77,0,8,49,3,3,2,19,26,0,3,1,3,0,0,1,4,6,0,11,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1S,100,20,2,0,4,70,62,2,614,5,0,3,0,17,6,4,13,2,12,10,7,0,195,7,4,16,7,6,234,9,514,26,6,0,45,0,0,2,84,0,3,1,0,2,0,32,107,0,1,0,6,0,0,0,2,1,3,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1T,52,25,12,0,0,65,16,2,268,7,1,3,0,43,6,3,15,3,7,14,3,4,103,1,0,12,6,0,71,0,274,8,0,0,53,4,0,0,115,0,2,6,0,0,0,10,54,0,0,2,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1V,139,24,2,1,10,94,14,0,865,5,0,14,0,17,6,8,8,5,5,6,3,1,213,7,5,11,2,3,169,6,655,12,1,3,56,5,2,2,71,3,1,59,0,0,0,5,132,0,2,1,2,3,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1W,71,16,3,1,3,60,8,1,229,3,3,5,0,34,8,4,16,2,8,8,1,2,62,1,3,11,4,0,48,3,251,3,3,0,79,0,2,0,45,0,3,17,0,0,0,1,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
M1X,31,3,0,0,3,28,3,0,61,1,0,9,0,8,4,4,1,1,5,1,14,0,43,3,6,5,8,2,40,6,67,6,1,0,33,0,0,1,7,0,1,83,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2G,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2H,40,2,13,0,0,45,4,0,214,5,1,3,0,11,66,5,9,1,2,2,0,0,29,1,1,8,0,2,13,0,104,3,0,0,38,0,0,1,30,0,1,1,0,0,0,0,8,0,0,4,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2J,84,35,34,1,5,53,12,3,434,10,1,10,0,27,19,12,18,0,5,7,0,1,80,4,2,19,3,4,48,6,293,17,8,0,127,0,1,1,62,3,3,23,0,2,0,3,19,0,0,2,3,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2K,21,9,14,1,0,11,4,0,123,3,0,1,0,15,1,6,8,1,2,1,1,0,42,0,1,4,0,3,35,3,119,2,7,0,25,0,0,0,11,2,1,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2L,16,8,0,0,0,0,0,0,33,1,0,0,0,0,0,2,7,0,0,1,0,0,9,0,0,4,0,0,0,3,24,1,2,0,13,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2M,57,12,11,8,5,21,16,2,409,8,1,3,1,18,3,10,24,5,4,6,2,0,127,9,2,25,15,3,32,1,220,30,10,0,44,0,0,0,8,0,3,14,3,0,0,5,38,0,3,3,2,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2N,88,19,71,3,4,29,15,28,942,3,0,2,0,27,2,6,18,3,6,13,4,3,292,18,3,9,4,6,31,1,560,20,18,0,68,0,0,6,12,6,2,34,0,0,2,11,123,0,7,0,5,0,0,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7,0,1,0,0,1,11,1,0,0,0,0,0,0,0,0,0
M2P,9,1,15,0,0,3,0,0,36,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,5,0,27,0,0,0,12,0,1,0,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2R,84,38,5,1,1,37,6,5,98,6,2,1,0,8,7,2,22,2,3,9,0,1,40,0,1,15,0,0,14,2,121,5,1,0,174,0,1,0,9,0,1,5,0,0,1,0,11,0,0,2,0,0,0,0,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M2S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3A,63,18,8,1,0,21,1,0,84,2,0,6,1,5,9,6,8,1,2,11,0,1,27,0,0,8,1,1,26,0,79,1,2,0,50,0,0,0,15,0,7,3,0,0,1,2,35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3B,31,3,14,2,2,2,2,1,280,0,0,3,0,11,8,4,1,0,0,1,0,0,43,2,0,2,0,2,16,1,88,8,4,0,47,0,0,0,44,0,0,5,0,0,0,8,1,0,0,1,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3C,49,21,31,0,1,48,3,1,318,11,9,0,0,12,20,1,9,1,2,13,0,1,56,6,1,6,0,2,34,5,188,6,8,11,115,0,0,0,39,1,18,14,0,1,1,1,7,0,3,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
